training_iteration,timesteps_total,time_this_iter_s,num_workers,num_gpus,num_cpus_per_worker,num_gpus_per_worker
5643,18057600,42.592042350769,1,1,1,0
1000,3200000,34.5445534252,2,0,1,0
3452,11046400,19.8811458339691,2,1,1,0
1000,3200000,36.54664356363,3,0,1,0
1000,3200000,23.5345352511,4,0,1,0
2186,6995200,15.5251218754005,4,1,1,0
3456,11059200,8.76356581271629,8,1,1,0
1000,3200000,11.3423553453,16,0,1,0
7928,25369600,5.3267520904541,16,1,1,0
1000,3200000,5.56863229980468,24,0,1,0
1263,4041600,3.91312133789063,32,1,1,0
1000,3200000,4.134234525512,64,0,1,0
4102,13126400,2.78431614990234,64,1,1,0
