training_iteration,timesteps_total,time_this_iter_s,num_workers,num_gpus,num_cpus_per_worker,num_gpus_per_worker
635,644000,92.8677713871002,1,0,1,0
631,640000,67.48748788883,1,1,1,0
1253,1262000,28.45645365466,4,1,1,0
1000,1000448,37.83200472233,4,0,1,0
1260,1269000,15.6538701057434,8,1,1,0
1000,1000448,19.4757535734,8,0,1,0
1356,1375848,11.3222255706787,12,1,1,0
1377,1397008,8.03661108016968,16,1,1,0
1000,1000496,15.45757443531,16,0,1,0
954,970624,8.18036580085754,16,1,1,0
1420,1463072,4.72155117988586,32,1,1,0
1000,1000448,11.17458975598,32,0,1,0
2000,2057088,2.54799795150757,64,1,1,0
1000,1000448,6.372346246411,64,0,1,0
