training_iteration,timesteps_total,time_this_iter_s,num_workers,num_gpus,num_cpus_per_worker,num_gpus_per_worker
1000,1000448,25.5647756775768,1,0,1,0
1000,1000448,21.6894320602,1,1,1,0
1000,1000000,14.3778121471405,2,0,1,0
1000,1000000,11.5798279645,2,1,1,0
1000,1000000,13.1027083396912,4,0,1,0
1000,1000000,10.0894735426,4,1,1,0
1000,1000000,8.11948418617249,8,0,1,0
1000,1000000,6.75546763457,8,1,1,0
6796,6829980,3.62924456596375,15,0,1,0
993,1000944,5.19999885559082,16,0,1,0
465,1000944,4.23599504966,16,1,1,0
977,1000448,2.68406796455383,32,0,1,0
977,1000448,2.18768878883,32,1,1,0
1000,1000448,2.34989778648,64,0,1,0
1000,1000448,1.98788658855,64,1,1,0
